index,group,obst_id,surface,face,external_flux_kw_m2,x,y,z
0,RADM,A01.stl,E-玻璃纤维,+z,367,0.05000000000000002,0.0,-0.195
1,RADM,A01.stl,E-玻璃纤维,+z,367,0.05000000000000002,0.0,0.20500000000000002
2,RADM,A01.stl,E-玻璃纤维,+z,367,0.15000000000000002,0.0,-0.295
3,RADM,A01.stl,E-玻璃纤维,+z,367,0.15000000000000002,-0.15000000000000002,-0.195
4,RADM,A01.stl,E-玻璃纤维,+z,367,0.15000000000000002,0.15000000000000002,-0.195
5,RADM,A01.stl,E-玻璃纤维,+z,367,0.15000000000000002,-0.15000000000000002,0.20500000000000002
6,RADM,A01.stl,E-玻璃纤维,+z,367,0.15000000000000002,0.15000000000000002,0.20500000000000002
7,RADM,A01.stl,E-玻璃纤维,+z,367,0.15000000000000002,0.0,0.305
8,RADM,A01.stl,E-玻璃纤维,+z,367,0.25,-0.15000000000000002,-0.295
9,RADM,A01.stl,E-玻璃纤维,+z,367,0.25,0.15000000000000002,-0.295
10,RADM,A01.stl,E-玻璃纤维,+z,367,0.25,-0.25,-0.195
11,RADM,A01.stl,E-玻璃纤维,+z,367,0.25,0.25,-0.195
12,RADM,A01.stl,E-玻璃纤维,+z,367,0.25,-0.25,0.20500000000000002
13,RADM,A01.stl,E-玻璃纤维,+z,367,0.25,0.25,0.20500000000000002
14,RADM,A01.stl,E-玻璃纤维,+z,367,0.25,-0.15000000000000002,0.305
15,RADM,A01.stl,E-玻璃纤维,+z,367,0.25,0.15000000000000002,0.305
16,RADM,A01.stl,E-玻璃纤维,+z,367,0.30000000000000004,0.0,-0.395
17,RADM,A01.stl,E-玻璃纤维,+z,367,0.30000000000000004,0.0,0.405
18,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,-0.15000000000000002,-0.395
19,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,0.15000000000000002,-0.395
20,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,-0.25,-0.295
21,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,0.25,-0.295
22,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,-0.35,-0.195
23,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,0.35,-0.195
24,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,-0.35,0.20500000000000002
25,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,0.35,0.20500000000000002
26,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,-0.25,0.305
27,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,0.25,0.305
28,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,-0.15000000000000002,0.405
29,RADM,A01.stl,E-玻璃纤维,+z,367,0.35,0.15000000000000002,0.405
30,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,-0.25,-0.395
31,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,0.25,-0.395
32,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,-0.35,-0.295
33,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,0.35,-0.295
34,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,-0.45,-0.095
35,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,0.45,-0.095
36,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,-0.45,0.10500000000000001
37,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,0.45,0.10500000000000001
38,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,-0.35,0.305
39,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,0.35,0.305
40,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,-0.25,0.405
41,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,0.25,0.405
42,RADM,A01.stl,E-玻璃纤维,+z,367,0.45,0.0,0.505
43,RADM,A01.stl,E-玻璃纤维,+z,367,0.5,0.0,-0.495
44,RADM,A01.stl,E-玻璃纤维,+z,367,0.5,-0.15000000000000002,0.505
45,RADM,A01.stl,E-玻璃纤维,+z,367,0.5,0.15000000000000002,0.505
46,RADM,A01.stl,E-玻璃纤维,+z,367,0.55,-0.35,-0.395
47,RADM,A01.stl,E-玻璃纤维,+z,367,0.55,0.35,-0.395
48,RADM,A01.stl,E-玻璃纤维,+z,367,0.55,-0.45,-0.295
