index,group,obst_id,surface,face,external_flux_kw_m2,x,y,z
0,RADM,A01.stl,E-玻璃纤维,+z,2941,0.05000000000000002,0.0,-0.165
1,RADM,A01.stl,E-玻璃纤维,+z,2941,0.05000000000000002,0.0,0.23500000000000001
2,RADM,A01.stl,E-玻璃纤维,+z,2941,0.15000000000000002,0.0,-0.265
3,RADM,A01.stl,E-玻璃纤维,+z,2941,0.15000000000000002,-0.15000000000000002,-0.165
4,RADM,A01.stl,E-玻璃纤维,+z,1412,0.15000000000000002,0.15000000000000002,-0.165
5,RADM,A01.stl,E-玻璃纤维,+z,2941,0.15000000000000002,-0.15000000000000002,0.23500000000000001
6,RADM,A01.stl,E-玻璃纤维,+z,2941,0.15000000000000002,0.15000000000000002,0.23500000000000001
7,RADM,A01.stl,E-玻璃纤维,+z,2941,0.15000000000000002,0.0,0.33499999999999996
8,RADM,A01.stl,E-玻璃纤维,+z,2941,0.25,-0.25,0.23500000000000001
9,RADM,A01.stl,E-玻璃纤维,+z,2941,0.25,0.25,0.23500000000000001
10,RADM,A01.stl,E-玻璃纤维,+z,2941,0.25,-0.15000000000000002,0.33499999999999996
11,RADM,A01.stl,E-玻璃纤维,+z,2941,0.25,0.15000000000000002,0.33499999999999996
12,RADM,A01.stl,E-玻璃纤维,+z,2941,0.30000000000000004,0.0,0.43500000000000005
13,RADM,A01.stl,E-玻璃纤维,+z,2941,0.35,0.35,-0.165
14,RADM,A01.stl,E-玻璃纤维,+z,2941,0.35,-0.35,0.23500000000000001
15,RADM,A01.stl,E-玻璃纤维,+z,2941,0.35,0.35,0.23500000000000001
16,RADM,A01.stl,E-玻璃纤维,+z,2941,0.35,-0.25,0.33499999999999996
17,RADM,A01.stl,E-玻璃纤维,+z,2941,0.35,0.25,0.33499999999999996
18,RADM,A01.stl,E-玻璃纤维,+z,2941,0.35,-0.15000000000000002,0.43500000000000005
19,RADM,A01.stl,E-玻璃纤维,+z,2941,0.35,0.15000000000000002,0.43500000000000005
20,RADM,A01.stl,E-玻璃纤维,+z,2235,0.45,0.35,-0.265
21,RADM,A01.stl,E-玻璃纤维,+z,1412,0.45,-0.45,-0.065
22,RADM,A01.stl,E-玻璃纤维,+z,2941,0.45,0.45,-0.065
23,RADM,A01.stl,E-玻璃纤维,+z,2941,0.45,-0.45,0.135
24,RADM,A01.stl,E-玻璃纤维,+z,2941,0.45,0.45,0.135
25,RADM,A01.stl,E-玻璃纤维,+z,2941,0.45,-0.35,0.33499999999999996
26,RADM,A01.stl,E-玻璃纤维,+z,2941,0.45,0.35,0.33499999999999996
27,RADM,A01.stl,E-玻璃纤维,+z,2941,0.45,-0.25,0.43500000000000005
28,RADM,A01.stl,E-玻璃纤维,+z,2941,0.45,0.25,0.43500000000000005
29,RADM,A01.stl,E-玻璃纤维,+z,2941,0.45,0.0,0.535
30,RADM,A01.stl,E-玻璃纤维,+z,2941,0.5,-0.15000000000000002,0.535
31,RADM,A01.stl,E-玻璃纤维,+z,2941,0.5,0.15000000000000002,0.535
32,RADM,A01.stl,E-玻璃纤维,+z,2941,0.55,0.45,-0.265
33,RADM,A01.stl,E-玻璃纤维,+z,2941,0.55,-0.45,0.33499999999999996
34,RADM,A01.stl,E-玻璃纤维,+z,2941,0.55,0.45,0.33499999999999996
35,RADM,A01.stl,E-玻璃纤维,+z,1412,0.55,-0.35,0.43500000000000005
36,RADM,A01.stl,E-玻璃纤维,+z,2941,0.55,0.35,0.43500000000000005
37,RADM,A01.stl,E-玻璃纤维,+z,2941,0.55,-0.25,0.535
38,RADM,A01.stl,E-玻璃纤维,+z,2941,0.55,0.25,0.535
39,RADM,A01.stl,E-玻璃纤维,+z,2941,0.6,0.0,0.635
40,RADM,A01.stl,E-玻璃纤维,+z,2941,0.6499999999999999,0.55,-0.165
41,RADM,A01.stl,E-玻璃纤维,+z,1412,0.6499999999999999,-0.55,0.23500000000000001
42,RADM,A01.stl,E-玻璃纤维,+z,2941,0.6499999999999999,0.55,0.23500000000000001
43,RADM,A01.stl,E-玻璃纤维,+z,2941,0.6499999999999999,-0.45,0.43500000000000005
44,RADM,A01.stl,E-玻璃纤维,+z,2941,0.6499999999999999,0.45,0.43500000000000005
45,RADM,A01.stl,E-玻璃纤维,+z,2941,0.6499999999999999,-0.35,0.535
46,RADM,A01.stl,E-玻璃纤维,+z,2941,0.6499999999999999,0.35,0.535
47,RADM,A01.stl,E-玻璃纤维,+z,2941,0.6499999999999999,-0.15000000000000002,0.635
48,RADM,A01.stl,E-玻璃纤维,+z,2941,0.6499999999999999,0.15000000000000002,0.635
