index,group,obst_id,surface,face,external_flux_kw_m2,x,y,z
206,SEAT,U06_STL_FILL_0131,聚氨酯泡沫,+y,706,3.45,0.8350000000000001,0.45
207,SEAT,U06_STL_FILL_0131,聚氨酯泡沫,+y,471,3.65,0.8350000000000001,0.45
208,SEAT,U06_STL_FILL_0131,聚氨酯泡沫,+z,2588,3.45,0.75,0.535
209,SEAT,U06_STL_FILL_0131,聚氨酯泡沫,+z,2118,3.55,0.75,0.535
210,SEAT,U06_STL_FILL_0131,聚氨酯泡沫,+z,2588,3.6999999999999997,0.75,0.535
224,RADM,A01.stl,E-玻璃纤维,+z,5883,0.05000000000000002,0.0,-0.165
225,RADM,A01.stl,E-玻璃纤维,+z,5883,0.05000000000000002,0.0,0.23500000000000001
226,RADM,A01.stl,E-玻璃纤维,+z,5883,0.15000000000000002,0.0,-0.265
227,RADM,A01.stl,E-玻璃纤维,+z,5883,0.15000000000000002,-0.15000000000000002,-0.165
228,RADM,A01.stl,E-玻璃纤维,+z,2824,0.15000000000000002,0.15000000000000002,-0.165
229,RADM,A01.stl,E-玻璃纤维,+z,5883,0.15000000000000002,-0.15000000000000002,0.23500000000000001
230,RADM,A01.stl,E-玻璃纤维,+z,5883,0.15000000000000002,0.15000000000000002,0.23500000000000001
231,RADM,A01.stl,E-玻璃纤维,+z,5883,0.15000000000000002,0.0,0.33499999999999996
236,RADM,A01.stl,E-玻璃纤维,+z,5883,0.25,-0.25,0.23500000000000001
237,RADM,A01.stl,E-玻璃纤维,+z,5883,0.25,0.25,0.23500000000000001
238,RADM,A01.stl,E-玻璃纤维,+z,5883,0.25,-0.15000000000000002,0.33499999999999996
239,RADM,A01.stl,E-玻璃纤维,+z,5883,0.25,0.15000000000000002,0.33499999999999996
241,RADM,A01.stl,E-玻璃纤维,+z,5883,0.30000000000000004,0.0,0.43500000000000005
247,RADM,A01.stl,E-玻璃纤维,+z,5883,0.35,0.35,-0.165
248,RADM,A01.stl,E-玻璃纤维,+z,5883,0.35,-0.35,0.23500000000000001
249,RADM,A01.stl,E-玻璃纤维,+z,5883,0.35,0.35,0.23500000000000001
