index,group,obst_id,surface,face,external_flux_kw_m2,x,y,z
15,SEAT,U06_STL_FILL_0012,聚氨酯泡沫,-x,630,7.5649999999999995,-0.75,0.45
16,SEAT,U06_STL_FILL_0012,聚氨酯泡沫,+z,210,7.6499999999999995,-0.75,0.535
18,SEAT,U06_STL_FILL_0013,聚氨酯泡沫,-x,770,3.7649999999999997,-0.75,1.35
20,SEAT,U06_STL_FILL_0015,聚氨酯泡沫,-x,700,3.7649999999999997,-0.75,1.45
21,SEAT,U06_STL_FILL_0015,聚氨酯泡沫,+z,210,3.8666666666666663,-0.75,1.535
65,SEAT,U06_STL_FILL_0047,聚氨酯泡沫,-x,1189,3.7649999999999997,-0.55,1.35
88,SEAT,U06_STL_FILL_0064,聚氨酯泡沫,-x,1399,3.7649999999999997,-0.45,1.35
111,SEAT,U06_STL_FILL_0081,聚氨酯泡沫,-x,1189,3.7649999999999997,0.45,1.35
134,SEAT,U06_STL_FILL_0098,聚氨酯泡沫,-x,1399,3.7649999999999997,0.55,1.35
178,SEAT,U06_STL_FILL_0131,聚氨酯泡沫,-x,1259,7.5649999999999995,0.75,0.45
179,SEAT,U06_STL_FILL_0131,聚氨酯泡沫,+z,420,7.6499999999999995,0.75,0.535
181,SEAT,U06_STL_FILL_0132,聚氨酯泡沫,-x,1469,3.7649999999999997,0.75,1.35
183,SEAT,U06_STL_FILL_0134,聚氨酯泡沫,-x,1399,3.7649999999999997,0.75,1.45
184,SEAT,U06_STL_FILL_0134,聚氨酯泡沫,+z,420,3.8666666666666663,0.75,1.535
188,RADM,A01.stl,E-玻璃纤维,+z,490,0.05000000000000002,0.0,-0.165
189,RADM,A01.stl,E-玻璃纤维,+z,490,0.05000000000000002,0.0,0.23500000000000001
190,RADM,A01.stl,E-玻璃纤维,+z,490,0.15000000000000002,0.0,-0.265
191,RADM,A01.stl,E-玻璃纤维,+z,490,0.15000000000000002,-0.15000000000000002,-0.165
192,RADM,A01.stl,E-玻璃纤维,+z,490,0.15000000000000002,0.15000000000000002,-0.165
193,RADM,A01.stl,E-玻璃纤维,+z,490,0.15000000000000002,-0.15000000000000002,0.23500000000000001
194,RADM,A01.stl,E-玻璃纤维,+z,490,0.15000000000000002,0.15000000000000002,0.23500000000000001
195,RADM,A01.stl,E-玻璃纤维,+z,490,0.15000000000000002,0.0,0.33499999999999996
196,RADM,A01.stl,E-玻璃纤维,+z,490,0.25,-0.15000000000000002,-0.265
197,RADM,A01.stl,E-玻璃纤维,+z,490,0.25,0.15000000000000002,-0.265
198,RADM,A01.stl,E-玻璃纤维,+z,490,0.25,-0.25,-0.165
199,RADM,A01.stl,E-玻璃纤维,+z,490,0.25,0.25,-0.165
200,RADM,A01.stl,E-玻璃纤维,+z,490,0.25,-0.25,0.23500000000000001
201,RADM,A01.stl,E-玻璃纤维,+z,490,0.25,0.25,0.23500000000000001
202,RADM,A01.stl,E-玻璃纤维,+z,490,0.25,-0.15000000000000002,0.33499999999999996
203,RADM,A01.stl,E-玻璃纤维,+z,490,0.25,0.15000000000000002,0.33499999999999996
204,RADM,A01.stl,E-玻璃纤维,+z,490,0.30000000000000004,0.0,-0.365
205,RADM,A01.stl,E-玻璃纤维,+z,490,0.30000000000000004,0.0,0.43500000000000005
206,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,-0.15000000000000002,-0.365
207,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,0.15000000000000002,-0.365
208,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,-0.25,-0.265
209,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,0.25,-0.265
210,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,-0.35,-0.165
211,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,0.35,-0.165
212,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,-0.35,0.23500000000000001
213,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,0.35,0.23500000000000001
214,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,-0.25,0.33499999999999996
215,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,0.25,0.33499999999999996
216,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,-0.15000000000000002,0.43500000000000005
217,RADM,A01.stl,E-玻璃纤维,+z,490,0.35,0.15000000000000002,0.43500000000000005
218,RADM,A01.stl,E-玻璃纤维,+z,490,0.45,-0.25,-0.365
219,RADM,A01.stl,E-玻璃纤维,+z,490,0.45,0.25,-0.365
220,RADM,A01.stl,E-玻璃纤维,+z,490,0.45,-0.35,-0.265
221,RADM,A01.stl,E-玻璃纤维,+z,490,0.45,0.35,-0.265
222,RADM,A01.stl,E-玻璃纤维,+z,490,0.45,-0.45,-0.065
223,RADM,A01.stl,E-玻璃纤维,+z,490,0.45,0.45,-0.065
224,RADM,A01.stl,E-玻璃纤维,+z,490,0.45,-0.45,0.135
225,RADM,A01.stl,E-玻璃纤维,+z,490,0.45,0.45,0.135
226,RADM,A01.stl,E-玻璃纤维,+z,490,0.45,-0.35,0.33499999999999996
