case,group,latest_time_s,peak_temperature_C,peak_net_surface_heat_flux_kW_m2,nominal_HRRPUA_kW_m2
Q=50 J/cm2,RADM,181.50214,793.57725,250.04975,840.0
Q=50 J/cm2,WINS,181.50214,950.27882,225.61153,806.0
Q=50 J/cm2,BED,181.50214,267.11218,56.497228,790.0
Q=50 J/cm2,CURT,181.50214,345.60562,195.1392,324.0
Q=50 J/cm2,U4,181.50214,146.57358,46.52466,840.0
Q=50 J/cm2,SEAT,181.50214,2726.85,65.290544,860.0
Q=50 J/cm2,AL2024,181.50214,842.48481,244.23668,0.0
Q=50 J/cm2,AL5052,181.50214,444.12822,28.404824,0.0
Q=50 J/cm2,AL7075,181.50214,325.05838,241.59118,0.0
Q=50 J/cm2,O2TANK,181.50214,141.61359,174.13862,0.0
Q=50 J/cm2,H1,181.50214,78.322103,241.59001,0.0
Q=50 J/cm2,H2,181.50214,78.375454,241.6121,0.0
Q=50 J/cm2,H3,181.50214,359.06884,29.136218,0.0
Q=50 J/cm2,H4,181.50214,261.78967,38.840777,0.0
Q=50 J/cm2,H5,181.50214,67.819872,32.566852,0.0
Q=50 J/cm2,H6,181.50214,364.08672,38.964657,259.0
Q=50 J/cm2,H7,181.50214,240.02078,37.416778,458.0
Q=200 J/cm2,RADM,697.50012,1002.3976,822.50687,840.0
Q=200 J/cm2,WINS,697.50012,1216.6962,597.5396,806.0
Q=200 J/cm2,BED,697.50012,526.68544,221.73977,790.0
Q=200 J/cm2,CURT,697.50012,1036.1957,609.25041,324.0
Q=200 J/cm2,U4,697.50012,583.70666,49.543695,840.0
Q=200 J/cm2,SEAT,697.50012,2726.85,68.869333,860.0
Q=200 J/cm2,AL2024,697.50012,850.95472,970.87736,0.0
Q=200 J/cm2,AL5052,697.50012,708.3213,36.982828,0.0
Q=200 J/cm2,AL7075,697.50012,679.91189,969.4178,0.0
Q=200 J/cm2,O2TANK,697.50012,503.88369,698.00287,0.0
Q=200 J/cm2,H1,697.50012,251.70869,967.99608,0.0
Q=200 J/cm2,H2,697.50012,277.24177,977.26442,0.0
Q=200 J/cm2,H3,697.50012,653.2987,39.512501,0.0
Q=200 J/cm2,H4,697.50012,579.51993,155.56158,0.0
Q=200 J/cm2,H5,697.50012,249.77001,19.556492,0.0
Q=200 J/cm2,H6,697.50012,427.43063,29.875725,259.0
Q=200 J/cm2,H7,697.50012,397.05786,49.24774,458.0
Q=400 J/cm2,RADM,672.00041,1532.6143,1260.7824,840.0
Q=400 J/cm2,WINS,672.00041,1706.4809,818.73273,806.0
Q=400 J/cm2,BED,672.00041,672.59695,409.20395,790.0
Q=400 J/cm2,CURT,672.00041,1530.0611,892.52994,324.0
Q=400 J/cm2,U4,672.00041,578.13944,51.601004,840.0
Q=400 J/cm2,SEAT,672.00041,2726.85,139.93844,860.0
Q=400 J/cm2,AL2024,672.00041,860.27515,1929.5612,0.0
Q=400 J/cm2,AL5052,672.00041,695.85363,39.76373,0.0
Q=400 J/cm2,AL7075,672.00041,682.3994,1935.3016,0.0
Q=400 J/cm2,O2TANK,672.00041,504.8564,1394.6557,0.0
Q=400 J/cm2,H1,672.00041,467.95808,1932.4967,0.0
Q=400 J/cm2,H2,672.00041,489.73978,1948.2364,0.0
Q=400 J/cm2,H3,672.00041,652.17505,41.649628,0.0
Q=400 J/cm2,H4,672.00041,581.28459,311.31074,0.0
Q=400 J/cm2,H5,672.00041,250.6541,24.287548,0.0
Q=400 J/cm2,H6,672.00041,429.53768,24.899566,259.0
Q=400 J/cm2,H7,672.00041,396.52075,50.70284,458.0
