case,group,latest_time_s,peak_temperature_C,peak_net_surface_heat_flux_kW_m2,nominal_HRRPUA_kW_m2
Q100 audited thickness,RADM,60.006798,567.54015,450.04027,75.0
Q100 audited thickness,WINS,60.006798,784.51937,385.08693,250.0
Q100 audited thickness,BED,60.006798,264.31809,112.84297,180.0
Q100 audited thickness,CURT,60.006798,626.54254,362.6628,180.0
Q100 audited thickness,U4,60.006798,82.455009,14.975774,100.0
Q100 audited thickness,SEAT,60.006798,1363.8627,29.250496,200.0
Q100 audited thickness,AL2024,60.006798,364.36862,484.11347,0.0
Q100 audited thickness,AL5052,60.006798,40.898597,3.3379969,0.0
Q100 audited thickness,AL7075,60.006798,125.08651,484.48756,0.0
Q100 audited thickness,O2TANK,60.006798,83.796311,349.09243,0.0
Q100 audited thickness,H1,60.006798,136.88824,484.42192,0.0
Q100 audited thickness,H2,60.006798,137.03708,484.50945,0.0
Q100 audited thickness,H3,60.006798,63.718725,18.592102,0.0
Q100 audited thickness,H4,60.006798,106.62618,77.553133,0.0
Q100 audited thickness,H5,60.006798,20.688261,0.26187908,0.0
Q100 audited thickness,H6,60.006798,33.228211,0.75240312,200.0
Q100 audited thickness,H7,60.006798,313.73304,27.624332,180.0
Q200 audited thickness,RADM,243.00283,987.65375,786.78986,75.0
Q200 audited thickness,WINS,243.00283,1209.6654,577.864,250.0
Q200 audited thickness,BED,243.00283,454.17661,218.55274,180.0
Q200 audited thickness,CURT,243.00283,1041.1006,600.55463,180.0
Q200 audited thickness,U4,243.00283,106.28312,14.207911,100.0
Q200 audited thickness,SEAT,243.00283,1687.2198,49.351045,200.0
Q200 audited thickness,AL2024,243.00283,474.46396,961.9114,0.0
Q200 audited thickness,AL5052,243.00283,255.00595,9.8669581,0.0
Q200 audited thickness,AL7075,243.00283,228.98026,963.46525,0.0
Q200 audited thickness,O2TANK,243.00283,132.45704,694.64845,0.0
Q200 audited thickness,H1,243.00283,252.1079,963.24427,0.0
Q200 audited thickness,H2,243.00283,283.65348,963.83396,0.0
Q200 audited thickness,H3,243.00283,358.82322,26.526782,0.0
Q200 audited thickness,H4,243.00283,127.57905,154.84907,0.0
Q200 audited thickness,H5,243.00283,52.163999,7.7196441,0.0
Q200 audited thickness,H6,243.00283,217.72757,8.8275316,200.0
Q200 audited thickness,H7,243.00283,421.61504,50.852408,180.0
Q400 preserved old thickness,RADM,1420.5006,1530.1685,1190.1483,75.0
Q400 preserved old thickness,WINS,1420.5006,1712.9335,780.38763,250.0
Q400 preserved old thickness,BED,1420.5006,691.37889,400.9372,180.0
Q400 preserved old thickness,CURT,1420.5006,1544.1451,865.45421,180.0
Q400 preserved old thickness,U4,1420.5006,270.38646,17.894177,100.0
Q400 preserved old thickness,SEAT,1420.5006,2726.85,105.41238,200.0
Q400 preserved old thickness,AL2024,1420.5006,694.59405,1921.1718,0.0
Q400 preserved old thickness,AL5052,1420.5006,390.2346,15.206204,0.0
Q400 preserved old thickness,AL7075,1420.5006,428.83204,1930.9615,0.0
Q400 preserved old thickness,O2TANK,1420.5006,243.10689,1392.9315,0.0
Q400 preserved old thickness,H1,1420.5006,471.45506,1929.8728,0.0
Q400 preserved old thickness,H2,1420.5006,477.23018,1932.601,0.0
Q400 preserved old thickness,H3,1420.5006,591.30292,20.947873,0.0
Q400 preserved old thickness,H4,1420.5006,201.18487,310.99283,0.0
Q400 preserved old thickness,H5,1420.5006,85.713438,8.6344182,0.0
Q400 preserved old thickness,H6,1420.5006,263.19268,12.4284,200.0
Q400 preserved old thickness,H7,1420.5006,383.60623,48.984474,180.0
