x0,x1,y0,y1,z0,z1,face,material,surf_variant,flux_kW_m2,cos_theta
0.0000,0.1000,-0.1000,0.1000,-0.2000,-0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.0000,0.1000,-0.1000,0.1000,0.2000,0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.1000,0.2000,-0.1000,0.1000,-0.3000,-0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.1000,0.2000,-0.2000,-0.1000,-0.2000,-0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.1000,0.2000,0.1000,0.2000,-0.2000,-0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.1000,0.2000,-0.2000,-0.1000,0.2000,0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.1000,0.2000,0.1000,0.2000,0.2000,0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.1000,0.2000,-0.1000,0.1000,0.3000,0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.2000,0.3000,-0.2000,-0.1000,-0.3000,-0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.2000,0.3000,0.1000,0.2000,-0.3000,-0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.2000,0.3000,-0.3000,-0.2000,-0.2000,-0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.2000,0.3000,0.2000,0.3000,-0.2000,-0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.2000,0.3000,-0.3000,-0.2000,0.2000,0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.2000,0.3000,0.2000,0.3000,0.2000,0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.2000,0.3000,-0.2000,-0.1000,0.3000,0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.2000,0.3000,0.1000,0.2000,0.3000,0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.2000,0.4000,-0.1000,0.1000,-0.4000,-0.4000,+z,EGFR,EGFR_R0350,350,0.2588
0.2000,0.4000,-0.1000,0.1000,0.4000,0.4000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,-0.2000,-0.1000,-0.4000,-0.4000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,0.1000,0.2000,-0.4000,-0.4000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,-0.3000,-0.2000,-0.3000,-0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,0.2000,0.3000,-0.3000,-0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,-0.4000,-0.3000,-0.2000,-0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,0.3000,0.4000,-0.2000,-0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,-0.4000,-0.3000,0.2000,0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,0.3000,0.4000,0.2000,0.2000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,-0.3000,-0.2000,0.3000,0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,0.2000,0.3000,0.3000,0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,-0.2000,-0.1000,0.4000,0.4000,+z,EGFR,EGFR_R0350,350,0.2588
0.3000,0.4000,0.1000,0.2000,0.4000,0.4000,+z,EGFR,EGFR_R0350,350,0.2588
0.4000,0.5000,-0.3000,-0.2000,-0.4000,-0.4000,+z,EGFR,EGFR_R0350,350,0.2588
0.4000,0.5000,0.2000,0.3000,-0.4000,-0.4000,+z,EGFR,EGFR_R0350,350,0.2588
0.4000,0.5000,-0.4000,-0.3000,-0.3000,-0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.4000,0.5000,0.3000,0.4000,-0.3000,-0.3000,+z,EGFR,EGFR_R0350,350,0.2588
0.4000,0.5000,-0.5000,-0.4000,-0.1000,-0.1000,+z,EGFR,EGFR_R0350,350,0.2588
0.4000,0.5000,0.4000,0.5000,-0.1000,-0.1000,+z,EGFR,EGFR_R0350,350,0.2588
0.4000,0.5000,-0.5000,-0.4000,0.1000,0.1000,+z,EGFR,EGFR_R0350,350,0.2588
0.4000,0.5000,0.4000,0.5000,0.1000,0.1000,+z,EGFR,EGFR_R0350,350,0.2588
