azimuth_deg,elevation_deg,direct_groups,direct_target_groups,min_positive_target_p90,mean_target_p90,mean_all_p90,RADM_max,WINS_max,BED_max,CURT_max,U4_max,SEAT_max,AL2024_max,AL5052_max,AL7075_max,O2TANK_max,H1_max,H2_max,H3_max,H4_max,H5_max,H6_max,H7_max,RADM_p90,WINS_p90,BED_p90,CURT_p90,U4_p90,SEAT_p90,AL2024_p90,AL5052_p90,AL7075_p90,O2TANK_p90,H1_p90,H2_p90,H3_p90,H4_p90,H5_p90,H6_p90,H7_p90
135.0,60.0,13,9,200.0,599.4444444444445,588.0769230769231,850.0,750.0,0.0,750.0,0.0,750.0,850.0,350.0,200.0,750.0,850.0,850.0,300.0,700.0,0.0,0.0,700.0,850.0,650.0,0.0,650.0,0.0,700.0,850.0,350.0,200.0,550.0,850.0,850.0,250.0,250.0,0.0,0.0,645.0000000000001
45.0,60.0,13,9,200.0,547.2222222222222,565.7692307692308,850.0,750.0,0.0,750.0,0.0,750.0,850.0,350.0,200.0,750.0,850.0,850.0,300.0,700.0,0.0,0.0,750.0,850.0,730.0000000000011,0.0,700.0,0.0,750.0,450.0,350.0,200.0,570.0,850.0,689.9999999999999,250.0,265.00000000000006,0.0,0.0,700.0
45.0,45.0,13,9,150.0,488.8888888888889,495.7692307692308,700.0,600.0,0.0,600.0,0.0,600.0,700.0,500.0,250.0,150.0,700.0,700.0,450.0,500.0,0.0,0.0,600.0,700.0,600.0,0.0,500.0,0.0,565.0000000000002,500.0,500.0,250.0,150.0,700.0,700.0,380.00000000000006,350.0,0.0,0.0,550.0
270.0,45.0,12,9,195.0,556.6666666666666,567.5,700.0,700.0,550.0,600.0,0.0,600.0,700.0,0.0,700.0,200.0,700.0,700.0,0.0,600.0,0.0,0.0,300.0,700.0,650.0,550.0,550.0,0.0,600.0,700.0,0.0,700.0,195.0,700.0,700.0,0.0,464.99999999999994,0.0,0.0,300.0
270.0,15.0,12,9,150.0,668.3333333333334,701.25,950.0,900.0,600.0,800.0,0.0,800.0,950.0,0.0,950.0,700.0,950.0,950.0,0.0,150.0,800.0,0.0,0.0,950.0,900.0,200.0,750.0,0.0,750.0,500.0,0.0,950.0,700.0,950.0,950.0,0.0,150.0,665.0000000000001,0.0,0.0
45.0,30.0,12,8,300.0,550.0,537.5,600.0,600.0,0.0,500.0,0.0,500.0,600.0,600.0,600.0,0.0,600.0,600.0,500.0,400.0,0.0,0.0,500.0,600.0,600.0,0.0,500.0,0.0,500.0,600.0,600.0,600.0,0.0,600.0,600.0,450.0,300.0,0.0,0.0,500.0
315.0,45.0,12,8,300.0,541.875,536.25,700.0,650.0,0.0,600.0,0.0,600.0,700.0,0.0,500.0,300.0,700.0,700.0,400.0,550.0,0.0,0.0,600.0,700.0,600.0,0.0,550.0,0.0,550.0,500.0,0.0,500.0,300.0,700.0,625.0,400.0,459.99999999999994,0.0,0.0,550.0
135.0,30.0,12,8,300.0,501.25,496.6666666666667,600.0,550.0,0.0,500.0,0.0,500.0,600.0,600.0,600.0,0.0,500.0,500.0,500.0,300.0,0.0,0.0,500.0,600.0,500.0,0.0,500.0,0.0,500.0,600.0,460.0,600.0,0.0,500.0,500.0,450.0,300.0,0.0,0.0,450.0
225.0,60.0,12,8,280.0,651.875,630.4166666666666,850.0,750.0,0.0,750.0,0.0,750.0,850.0,0.0,350.0,300.0,850.0,850.0,250.0,700.0,0.0,0.0,750.0,850.0,750.0,0.0,650.0,0.0,700.0,650.0,0.0,350.0,280.0,850.0,850.0,250.0,635.0,0.0,0.0,750.0
0.0,30.0,12,8,250.0,696.875,714.5833333333334,850.0,850.0,0.0,750.0,0.0,750.0,850.0,0.0,450.0,750.0,850.0,850.0,750.0,700.0,0.0,0.0,650.0,850.0,850.0,0.0,700.0,0.0,700.0,850.0,0.0,250.0,750.0,850.0,850.0,750.0,700.0,0.0,0.0,474.99999999999994
