azimuth_deg,elevation_deg,direct_groups,direct_target_groups,min_positive_target_p90,mean_target_p90,mean_all_p90,RADM_max,WINS_max,BED_max,CURT_max,U4_max,SEAT_max,AL2024_max,AL5052_max,AL7075_max,O2TANK_max,H1_max,H2_max,H3_max,H4_max,H5_max,H6_max,H7_max,RADM_p90,WINS_p90,BED_p90,CURT_p90,U4_p90,SEAT_p90,AL2024_p90,AL5052_p90,AL7075_p90,O2TANK_p90,H1_p90,H2_p90,H3_p90,H4_p90,H5_p90,H6_p90,H7_p90
90.0,75.0,13,9,645.0,827.7777777777778,772.3076923076923,950.0,950.0,0.0,950.0,0.0,200.0,950.0,950.0,800.0,750.0,950.0,950.0,800.0,700.0,0.0,0.0,750.0,950.0,950.0,0.0,750.0,0.0,190.0,950.0,880.0,760.0000000000001,645.0,950.0,950.0,700.0,675.0,0.0,0.0,690.0
60.0,75.0,13,9,620.0,820.5555555555555,801.5384615384615,950.0,950.0,0.0,950.0,0.0,750.0,950.0,950.0,800.0,800.0,950.0,950.0,800.0,700.0,0.0,0.0,800.0,950.0,900.0,0.0,729.9999999999998,0.0,705.0,950.0,790.0,750.0,680.0,950.0,950.0,700.0,620.0,0.0,0.0,745.0
120.0,75.0,13,9,600.0,814.4444444444445,798.4615384615385,950.0,950.0,0.0,950.0,0.0,750.0,950.0,950.0,750.0,800.0,950.0,950.0,800.0,700.0,0.0,0.0,800.0,950.0,900.0,0.0,750.0,0.0,750.0,950.0,870.0,730.0000000000001,620.0000000000001,950.0,950.0,650.0,600.0,0.0,0.0,710.0
30.0,75.0,13,9,489.9999999999999,820.0,806.1538461538462,950.0,950.0,0.0,950.0,0.0,800.0,950.0,950.0,800.0,800.0,950.0,950.0,800.0,700.0,0.0,0.0,800.0,950.0,900.0,0.0,750.0,0.0,750.0,950.0,800.0,800.0,730.0,950.0,950.0,700.0,489.9999999999999,0.0,0.0,760.0
240.0,30.0,13,9,265.0,582.2222222222222,559.6153846153846,750.0,750.0,450.0,650.0,0.0,600.0,750.0,0.0,750.0,400.0,750.0,750.0,300.0,300.0,0.0,0.0,600.0,750.0,600.0,435.0,550.0,0.0,600.0,750.0,0.0,750.0,400.0,650.0,730.0000000000005,285.0,265.0,0.0,0.0,510.00000000000006
60.0,30.0,13,9,250.0,461.6666666666667,463.46153846153845,750.0,650.0,250.0,600.0,0.0,350.0,550.0,450.0,400.0,0.0,500.0,500.0,650.0,550.0,0.0,0.0,550.0,750.0,470.0000000000003,250.0,450.0,0.0,350.0,450.0,450.0,400.0,0.0,500.0,410.00000000000006,600.0,510.0,0.0,0.0,434.99999999999994
120.0,60.0,13,9,200.0,604.4444444444445,597.6923076923077,850.0,750.0,0.0,750.0,0.0,750.0,850.0,250.0,200.0,750.0,850.0,850.0,350.0,500.0,0.0,0.0,750.0,850.0,650.0,0.0,600.0,0.0,750.0,850.0,250.0,200.0,590.0,850.0,850.0,330.00000000000006,300.0,0.0,0.0,700.0
240.0,45.0,13,9,200.0,539.4444444444445,519.6153846153846,700.0,650.0,200.0,600.0,0.0,600.0,700.0,0.0,600.0,400.0,700.0,700.0,250.0,500.0,0.0,0.0,500.0,700.0,600.0,200.0,500.0,0.0,550.0,600.0,0.0,600.0,370.0,700.0,700.0,250.0,485.00000000000006,0.0,0.0,500.0
60.0,60.0,13,9,200.0,522.2222222222226,541.5384615384618,850.0,750.0,0.0,750.0,0.0,750.0,850.0,250.0,200.0,550.0,850.0,850.0,350.0,600.0,0.0,0.0,750.0,850.0,640.0000000000006,0.0,650.0,0.0,750.0,440.0000000000034,250.0,200.0,450.0,850.0,710.0000000000001,300.0,300.0,0.0,0.0,650.0
60.0,45.0,13,9,150.0,450.0,466.9230769230769,700.0,600.0,0.0,600.0,0.0,550.0,700.0,350.0,300.0,150.0,700.0,700.0,500.0,350.0,0.0,0.0,550.0,700.0,550.0,0.0,500.0,0.0,550.0,350.0,350.0,300.0,150.0,700.0,665.0000000000001,420.0000000000001,335.00000000000006,0.0,0.0,500.0
